,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
1,"frozenset({'1440833', '2654231'})","frozenset({'2340333', '2654531'})",0.24726134585289514,0.3161189358372457,0.2237871674491393,0.9050632911392406,2.863046747712746,0.1456231739244369,7.203547209181016
3,"frozenset({'2340333', '2654231'})","frozenset({'1440833', '2654531'})",0.24726134585289514,0.3161189358372457,0.2237871674491393,0.9050632911392406,2.863046747712746,0.1456231739244369,7.203547209181016
5,"frozenset({'303713', '2654231'})","frozenset({'1440833', '2654531'})",0.24726134585289514,0.3161189358372457,0.2237871674491393,0.9050632911392406,2.863046747712746,0.1456231739244369,7.203547209181016
7,"frozenset({'1440833', '2654231'})","frozenset({'303713', '2654531'})",0.24726134585289514,0.3161189358372457,0.2237871674491393,0.9050632911392406,2.863046747712746,0.1456231739244369,7.203547209181016
9,"frozenset({'303713', '2654231'})","frozenset({'2340333', '2654531'})",0.24726134585289514,0.3161189358372457,0.2237871674491393,0.9050632911392406,2.863046747712746,0.1456231739244369,7.203547209181016
11,"frozenset({'2340333', '2654231'})","frozenset({'303713', '2654531'})",0.24726134585289514,0.3161189358372457,0.2237871674491393,0.9050632911392406,2.863046747712746,0.1456231739244369,7.203547209181016
12,"frozenset({'303713', '2340333', '2654231'})","frozenset({'1440833', '2654531'})",0.24726134585289514,0.3161189358372457,0.2237871674491393,0.9050632911392406,2.863046747712746,0.1456231739244369,7.203547209181016
13,"frozenset({'1440833', '2340333', '2654231'})","frozenset({'303713', '2654531'})",0.24726134585289514,0.3161189358372457,0.2237871674491393,0.9050632911392406,2.863046747712746,0.1456231739244369,7.203547209181016
16,"frozenset({'303713', '1440833', '2654231'})","frozenset({'2340333', '2654531'})",0.24726134585289514,0.3161189358372457,0.2237871674491393,0.9050632911392406,2.863046747712746,0.1456231739244369,7.203547209181016
18,"frozenset({'2340333', '2654231'})","frozenset({'303713', '1440833', '2654531'})",0.24726134585289514,0.3161189358372457,0.2237871674491393,0.9050632911392406,2.863046747712746,0.1456231739244369,7.203547209181016
20,"frozenset({'303713', '2654231'})","frozenset({'1440833', '2340333', '2654531'})",0.24726134585289514,0.3161189358372457,0.2237871674491393,0.9050632911392406,2.863046747712746,0.1456231739244369,7.203547209181016
21,"frozenset({'1440833', '2654231'})","frozenset({'303713', '2340333', '2654531'})",0.24726134585289514,0.3161189358372457,0.2237871674491393,0.9050632911392406,2.863046747712746,0.1456231739244369,7.203547209181016
